ORF,Protein Molecules/Cell
YER020W,143
YER021W,NA
YER022W,132
YER023W,727
YER024W,156
YER025W,NA
YER027C,52
YER028C,NA
YER029C,168
YER030W,299
YER031C,394
YER032W,NA
YER033C,45
YER034W,214
YER035W,132
YER036C,1551
YER037W,NA
YER038C,NA
YER040W,137
YER042W,166
YER043C,NA
YER044C,59
YER047C,49
YER048W-A,464
YER049W,118
YER052C,2532
YER053C,73
YER053C-A,92
YER054C,NA
YER056C,3997
YER056C-A,3382
YER059W,88
YER061C,143
YER062C,214
YER063W,NA
YER064C,NA
YER067W,NA
YER068W,308
YER069W,455
YER070W,NA
YER071C,NA
YER072W,281
YER073W,801
YER074W,2437
YER075C,65
YER077C,44
YER078C,62
YER079W,69
YER080W,102
YER081W,1370
YER083C,221
YER084W,92
YER086W,500
YER087C-A,NA
YER088C,85
YER089C,341
YER090W,1418
YER091C,13382
YER092W,145
YER095W,NA
YER098W,NA
YER099C,74
YER100W,NA
YER101C,NA
YER102W,5466
YER103W,96
YER104W,NA
YER105C,299
YER107C,131
YER110C,2184
YER111C,58
YER112W,202
YER113C,84
YER114C,184
YER116C,NA
YER117W,NA
YER118C,138
YER120W,NA
YER122C,358
YER123W,185
YER124C,NA
YER126C,3798
YER128W,61
YER129W,67
YER131W,3577
YER132C,114
YER133W,NA
YER134C,238
YER136W,773
YER139C,137
YER140W,NA
YER141W,345
YER142C,NA
YER143W,85
YER145C,618
YER147C,NA
YER148W,476
YER149C,84
YER150W,NA
YER151C,362
YER152C,95
YER153C,NA
YER154W,357
YER155C,200
YER156C,195
YER157W,148
YER159C,355
YER161C,71
YER162C,NA
YER163C,47
YER164W,250
YER165W,NA
YER166W,179
YER167W,NA
YER168C,201
YER169W,44
YER170W,NA
YER171W,104
YER172C,105
YER173W,NA
YER174C,NA
YER175C,1037
YER176W,74
YER177W,3701
YER178W,590
YER182W,NA
YER183C,NA
YFL001W,81
YFL002C,124
YFL004W,169
YFL006W,95
YFL007W,NA
YFL008W,212
YFL010C,641
YFL013C,153
YFL014W,521
YFL016C,458
YFL017C,NA
YFL017W-A,335
YFL018C,NA
YFL021W,472
YFL023W,94
YFL024C,44
YFL025C,60
YFL026W,662
YFL027C,NA
YFL028C,412
YFL029C,NA
YFL030W,NA
YFL031W,57
YFL033C,NA
YFL034C-A,2366
YFL034C-B,66
YFL034W,90
YFL036W,1577
YFL041W,285
YFL044C,46
YFL045C,NA
YFL046W,NA
YFL047W,124
YFL048C,409
YFL049W,47
YFL062W,NA
YFR001W,60
YFR002W,339
YFR004W,1367
YFR005C,NA
YFR006W,87
YFR008W,58
YFR009W,730
YFR010W,NA
YFR011C,248
YFR013W,104
YFR014C,NA
YFR015C,NA
YFR016C,211
YFR017C,54
YFR019W,70
YFR021W,80
YFR024C,293
YFR024C-A,305
YFR025C,158
YFR027W,NA
YFR028C,75
YFR030W,88
YFR031C,112
YFR031C-A,3305
YFR032C-A,5351
YFR033C,NA
YFR034C,NA
YFR036W,NA
YFR037C,394
YFR039C,NA
YFR040W,190
YFR041C,NA
YFR044C,427
YFR046C,NA
YFR047C,254
YFR048W,NA
YFR049W,127
YFR050C,1900
YFR051C,659
YFR052W,821
YFR053C,169
YGL001C,119
YGL004C,63
YGL005C,NA
YGL006W,61
YGL008C,NA
YGL009C,16409
YGL010W,51
